198	869
104	862
378	836
260	862
115	871
701	861
305	861
41	842
439	861
678	868
777	838
526	838
108	868
518	852
746	859
621	837
317	871
109	842
350	868
233	859
381	846
686	835
267	870
507	842
298	857
413	844
499	847
667	849
625	843
320	872
17	871
655	862
63	847
666	871
689	873
73	860
39	858
241	862
815	850
734	862
788	860
663	838
222	848
24	842
443	844
169	842
150	838
161	838
130	869
567	870
757	872
412	865
16	865
750	842
696	871
654	865
416	835
731	847
646	870
385	838
792	835
69	867
61	863
176	850
438	859
552	844
624	860
367	835
533	858
210	842
354	865
188	842
344	842
31	858
157	845
408	854
357	870
609	844
723	866
294	850
192	848
551	857
142	838
55	842
279	843
153	865
217	868
100	859
635	865
229	860
281	861
195	858
730	873
373	855
741	873
313	850
430	859
773	862
442	842
20	853
103	869
608	874
137	871
735	835
66	838
358	848
213	857
802	843
559	847
453	838
1	848
653	872
779	859
632	849
202	847
760	855
643	846
434	852
613	854
571	848
392	864
9	843
764	843
92	859
749	872
521	874
460	855
19	865
156	852
742	842
164	874
263	844
168	835
472	865
304	872
441	859
475	861
452	859
620	861
224	861
810	851
335	850
327	855
433	873
119	844
134	842
403	850
627	842
111	849
328	856
783	842
278	837
395	855
510	842
540	855
583	835
459	867
50	857
722	850
471	850
585	872
605	850
262	865
616	859
0	865
825	862
657	869
178	862
12	848
638	874
315	858
692	854
243	851
149	844
809	872
787	835
255	862
410	848
539	868
631	853
738	839
650	866
642	862
148	857
726	843
528	858
579	842
183	851
832	842
5	835
529	841
250	859
772	855
144	868
407	842
187	848
324	835
699	852
771	859
91	871
418	848
261	873
767	843
494	846
338	855
703	849
307	849
205	838
669	865
506	838
619	855
383	844
297	850
49	837
163	859
414	868
603	865
778	866
79	865
301	838
596	835
269	867
216	852
175	860
478	870
593	857
813	860
30	841
177	869
83	862
440	843
375	872
554	865
314	865
775	842
566	848
114	858
406	868
273	842
379	869
117	869
120	865
706	855
76	840
474	859
171	858
212	859
581	842
665	835
7	835
18	835
737	860
793	859
520	862
341	869
729	865
342	843
790	844
467	874
752	836
8	836
489	871
303	842
311	855
755	850
817	843
649	859
387	859
53	843
